Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity_Avg,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,RainToday
1/01/2013,SydneyAirport,20.2,27.1,0,11,10.9,37,13,20,70,1012.3,1008.5,6,3,No
2/01/2013,SydneyAirport,20.2,23.4,0,7.4,0.9,61,20,33,67,1014.1,1015.2,7,7,No
3/01/2013,SydneyAirport,17.7,25.5,0,5.6,12.4,37,13,24,54,1018.9,1016.5,4,1,No
4/01/2013,SydneyAirport,19.3,28.4,0,9,13.1,61,19,35,52,1016.7,1014,1,0,No
5/01/2013,SydneyAirport,21.1,30.9,0,9.6,12.7,57,17,35,49,1016,1014.1,0,1,No
6/01/2013,SydneyAirport,20.6,30.3,0,11.6,13.1,41,15,28,55,1021.2,1019.7,3,1,No
7/01/2013,SydneyAirport,21.3,28,0,8,9,44,24,24,67,1022.6,1018.3,8,1,No
8/01/2013,SydneyAirport,20.8,42.5,0,9.8,8.7,56,13,35,30,1005.8,998.8,6,6,No
9/01/2013,SydneyAirport,20.2,23.5,0,18.4,6.1,61,35,31,57,999.6,1002.4,6,6,No
10/01/2013,SydneyAirport,19.7,26.1,0,8.4,1.4,46,19,33,53,1009.8,1009.6,7,7,No
11/01/2013,SydneyAirport,20.5,31.9,0,6.2,10,54,11,28,55,1010.2,1005.5,3,5,No
12/01/2013,SydneyAirport,22.9,31.4,0,9.6,1.5,56,11,39,61,1005.7,1007,6,7,No
13/01/2013,SydneyAirport,20.2,23.9,0,6.2,0,61,15,20,78,1011.5,1009,8,7,No
14/01/2013,SydneyAirport,17.3,22.1,9.2,2,9.4,59,41,41,64,1015.4,1017.7,7,2,Yes
15/01/2013,SydneyAirport,18.1,25.4,0,9.8,10.8,48,13,20,53,1019.5,1016.7,3,3,No
16/01/2013,SydneyAirport,18.5,28.5,0,6.6,11.4,43,9,31,56,1014.6,1011.8,3,4,No
17/01/2013,SydneyAirport,21.1,30.1,0,8.2,12.1,50,15,33,69,1012.6,1007.7,5,1,No
18/01/2013,SydneyAirport,22.7,46.4,0,9,8.4,87,15,17,35,1002.7,997.5,0,3,No
19/01/2013,SydneyAirport,21.2,23.4,1.4,12.6,2.3,48,28,30,73,1013.4,1014,6,8,Yes
20/01/2013,SydneyAirport,19.8,24.2,0.2,5,0,35,19,19,59,1017.4,1016.2,7,8,No
21/01/2013,SydneyAirport,18.9,28.3,1,4.2,5.3,39,9,28,65,1015.8,1013.2,7,7,No
22/01/2013,SydneyAirport,21.5,32.2,0,7.4,7.3,63,17,35,59,1010.4,1007.2,2,7,No
23/01/2013,SydneyAirport,20.8,23.3,0.2,6.2,2.3,65,31,39,77,1015.4,1015.6,7,7,No
24/01/2013,SydneyAirport,20.6,27.5,0.2,7.2,10.5,41,26,24,79,1017.7,1015.6,7,2,No
25/01/2013,SydneyAirport,21.6,31.2,0,4.6,12.8,52,17,37,60,1012.9,1010.4,2,1,No
26/01/2013,SydneyAirport,23.8,31.1,0,11.4,8.3,72,20,43,66,1012.6,1010.8,7,6,No
27/01/2013,SydneyAirport,20.2,23.4,13.4,8.2,0,44,7,6,88,1009.1,1009.3,8,8,Yes
28/01/2013,SydneyAirport,20.7,24.1,16.2,2.2,0,61,17,19,90,1009.4,1008.5,8,8,Yes
29/01/2013,SydneyAirport,19.4,26.3,104.6,NA,4.5,63,17,37,85,1001.7,1005,8,6,Yes
30/01/2013,SydneyAirport,20.2,26.6,0.6,5.6,8.5,33,19,24,67,1014.9,1014.1,5,2,No
31/01/2013,SydneyAirport,21.1,30.5,0,5.6,12.2,61,20,37,60,1013.2,1008.1,3,1,No
1/03/2013,SydneyAirport,16.4,21.2,26.4,6.8,0,67,39,44,83,1014.6,1016.2,8,8,Yes
2/03/2013,SydneyAirport,17.7,23.5,13.6,6.2,0.1,61,41,37,71,1021,1020.9,7,8,Yes
3/03/2013,SydneyAirport,16.9,26.1,2,4.8,6.8,54,31,31,56,1022,1020.7,7,6,Yes
4/03/2013,SydneyAirport,19.4,26.5,1.6,6.6,9.6,39,24,24,52,1022.1,1021,3,3,Yes
5/03/2013,SydneyAirport,20,28.8,0,6,9.1,43,24,30,59,1021.8,1020,6,3,No
6/03/2013,SydneyAirport,19.8,28.7,0,7.4,7.6,46,13,28,59,1020.9,1018.1,7,3,No
7/03/2013,SydneyAirport,19.8,29.1,0,7.4,11.4,46,15,30,52,1019.9,1017.2,1,1,No
8/03/2013,SydneyAirport,20.1,27.9,0,7.8,6.1,37,13,26,56,1022.2,1020.4,4,4,No
9/03/2013,SydneyAirport,21.3,29.2,0,6.8,6.6,48,11,31,54,1021.3,1018.9,5,3,No
10/03/2013,SydneyAirport,19.8,29.2,0,7.4,9.8,43,13,30,52,1020.1,1017.3,5,5,No
11/03/2013,SydneyAirport,21,27.8,0.2,7.8,9.3,41,9,35,70,1020.7,1019.5,5,5,No
12/03/2013,SydneyAirport,21.2,27.9,0,6.4,7.9,37,7,22,62,1021,1018.3,7,2,No
13/03/2013,SydneyAirport,19.1,29.4,0,5.4,11.1,57,11,33,54,1014.6,1010.6,1,1,No
14/03/2013,SydneyAirport,20.9,23.3,0,7.8,1.3,56,9,24,77,1012.2,1011.4,6,7,No
15/03/2013,SydneyAirport,19.9,23.8,2.2,2.6,2,50,26,31,78,1016.1,1015.7,7,7,Yes
16/03/2013,SydneyAirport,20.5,29.5,0,4.2,10.7,39,13,28,63,1013.7,1008.7,1,3,No
17/03/2013,SydneyAirport,18.8,21.7,0.8,6.8,10.8,72,31,48,49,1013.3,1015.4,2,1,No
18/03/2013,SydneyAirport,13.7,22.2,0,8.6,10.2,57,24,24,56,1021.1,1020.4,2,2,No
19/03/2013,SydneyAirport,14,24.2,0,6.4,10.7,31,9,20,51,1024.4,1023.1,2,3,No
20/03/2013,SydneyAirport,16,26,1.6,5.4,9.9,39,11,22,59,1025.4,1022.2,3,3,Yes
21/03/2013,SydneyAirport,18.5,27.9,0,6.6,8,59,13,39,51,1019.3,1014.1,2,7,No
22/03/2013,SydneyAirport,21.5,33.6,0,6.8,4.4,69,28,30,42,1013.1,1010.8,6,7,No
23/03/2013,SydneyAirport,20.8,27.2,4.2,8.4,8.5,37,7,20,77,1016.6,1014,4,5,Yes
24/03/2013,SydneyAirport,20.8,30.7,0,4.8,10.5,35,7,26,64,1015.8,1011,1,1,No
25/03/2013,SydneyAirport,18.6,25.8,0,7,11,39,13,24,63,1018.2,1017.7,1,2,No
26/03/2013,SydneyAirport,21.4,29.1,0,4.4,4.3,46,11,30,67,1019.4,1016.2,7,7,No
27/03/2013,SydneyAirport,21.4,30.3,0,5.4,10.8,54,11,24,64,1019,1015.4,1,1,No
28/03/2013,SydneyAirport,21.5,34.9,0,7,7.3,63,11,17,50,1016.6,1011.9,1,7,No
29/03/2013,SydneyAirport,16.9,20.8,4.8,8,8.3,54,24,28,56,1018.7,1017.8,1,7,Yes
30/03/2013,SydneyAirport,15,25.2,0,5.2,10.6,39,11,24,50,1017.6,1012.8,1,6,No
31/03/2013,SydneyAirport,17.9,24.8,0,5,7.3,48,17,31,57,1011.6,1011.1,7,6,No
1/04/2013,SydneyAirport,17.1,23.4,4.4,6.6,5.8,33,9,17,77,1017.9,1015.4,6,3,Yes
2/04/2013,SydneyAirport,16.3,24.4,0,3.8,10.9,41,17,17,57,1016,1013.9,0,2,No
3/04/2013,SydneyAirport,16.2,19.5,21.2,6.6,0,59,39,37,84,1020.8,1021.6,7,8,Yes
4/04/2013,SydneyAirport,15.5,21.4,41.4,5,0.4,41,17,9,89,1028.2,1027.8,8,8,Yes
5/04/2013,SydneyAirport,16,22.6,13.2,0.8,4.3,37,9,11,70,1030.3,1028.4,7,6,Yes
6/04/2013,SydneyAirport,16.3,22,8.6,3.6,1.6,33,11,9,85,1028,1025.2,5,7,Yes
7/04/2013,SydneyAirport,14.4,23.2,2.8,2.4,7,26,9,17,65,1024.5,1021.4,3,3,Yes
8/04/2013,SydneyAirport,14.7,23.6,0,3.4,8.3,26,13,15,63,1025.2,1024,1,6,No
9/04/2013,SydneyAirport,15.4,21.7,1.6,2.4,3.6,41,13,9,81,1026.8,1024.3,6,3,Yes
10/04/2013,SydneyAirport,14.8,25.4,2.6,2.2,10.4,31,13,26,59,1024.6,1021.1,1,2,Yes
11/04/2013,SydneyAirport,15.4,26.8,0,4.6,10.8,28,13,19,52,1023.4,1021.4,1,1,No
12/04/2013,SydneyAirport,16.1,26.1,0,4.4,10.3,33,7,26,57,1025.9,1022.6,1,1,No
13/04/2013,SydneyAirport,15.9,26.5,0,4.8,10.7,43,13,30,54,1021.5,1016.1,1,1,No
14/04/2013,SydneyAirport,16,28.6,0,5.4,10.6,30,15,17,51,1013.8,1010.6,2,2,No
15/04/2013,SydneyAirport,17,27.3,0,5.8,5.7,52,13,11,58,1010.3,1007.4,7,4,No
16/04/2013,SydneyAirport,16.8,20.3,11.6,3.2,4.4,54,20,35,84,1015.3,1013.6,8,6,Yes
17/04/2013,SydneyAirport,13.8,21.1,0,4,7.7,37,9,20,70,1016.7,1014.1,1,7,No
18/04/2013,SydneyAirport,15.6,23.2,11.2,2.6,9.1,61,15,35,71,1014.6,1012.6,1,6,Yes
19/04/2013,SydneyAirport,13.4,19,0.4,4.6,10.5,76,37,50,49,1014.8,1012.9,2,4,No
20/04/2013,SydneyAirport,12.4,18.8,38.6,NA,1.2,69,22,44,76,1013,1014,8,7,Yes
21/04/2013,SydneyAirport,10.7,19.2,3,2.8,9.7,30,11,13,64,1016,1012.6,1,1,Yes
22/04/2013,SydneyAirport,13.9,25.1,0.4,2.6,8.1,31,17,9,59,1010.8,1006.9,6,2,No
23/04/2013,SydneyAirport,12.6,24.7,0,3.6,10.4,50,15,17,49,1012.9,1011.9,1,2,No
24/04/2013,SydneyAirport,12.2,22.9,0,3.6,10.8,35,24,22,44,1018.8,1015.9,1,1,No
25/04/2013,SydneyAirport,12.8,22.5,0,4.8,10.1,33,20,15,45,1021.8,1019.4,2,1,No
26/04/2013,SydneyAirport,11.8,26.6,0,3.4,10.7,41,17,13,39,1022.8,1019,1,0,No
27/04/2013,SydneyAirport,13.8,26.3,0,4.4,9.5,30,13,22,46,1021.9,1017.3,1,1,No
28/04/2013,SydneyAirport,14,29.3,0,4.6,10.1,41,11,17,35,1018.9,1015.7,1,1,No
29/04/2013,SydneyAirport,14.7,23.5,0,6.2,9.3,33,9,15,72,1022.4,1020.9,1,3,No
30/04/2013,SydneyAirport,18.8,20.5,0,2.8,4,39,26,20,82,1025.7,1022.4,7,7,No
1/05/2013,SydneyAirport,16.2,24.4,0,1.2,7.4,48,17,28,79,1018.5,1014.4,7,5,No
2/05/2013,SydneyAirport,13.8,18,0,5.6,7.4,56,28,35,56,1025.4,1025.1,1,4,No
3/05/2013,SydneyAirport,11.1,23.5,0,3,10.2,33,13,17,50,1026.6,1020.2,1,7,No
4/05/2013,SydneyAirport,12.9,25.1,0,4.4,6.2,61,13,41,58,1017.7,1018.7,7,3,No
5/05/2013,SydneyAirport,12.6,18.1,0,6.4,9.1,43,11,19,50,1025.2,1022.3,6,1,No
6/05/2013,SydneyAirport,10.3,17.7,0,3.4,8.2,48,24,26,69,1026.6,1024.6,3,7,No
7/05/2013,SydneyAirport,11.4,20,0,3,8.8,35,20,19,66,1028.7,1027.2,2,6,No
8/05/2013,SydneyAirport,12.4,22.6,0,3.4,5.3,26,11,17,57,1031.1,1027.9,7,4,No
9/05/2013,SydneyAirport,12.3,24.1,0,1.8,10.2,26,15,11,56,1030.8,1027.1,1,1,No
10/05/2013,SydneyAirport,12.2,20.9,0,3.6,10,31,15,13,68,1030.8,1028.5,1,1,No
11/05/2013,SydneyAirport,12.8,21.8,0,2,4.3,39,11,28,71,1030.3,1027.4,5,6,No
12/05/2013,SydneyAirport,13.4,22.9,0,3.6,7,31,11,20,73,1027.2,1022.5,8,2,No
13/05/2013,SydneyAirport,13.8,24.2,0,2,1.8,33,17,7,73,1018.9,1014,7,8,No
14/05/2013,SydneyAirport,13.2,19.3,0.2,2.4,6.9,43,33,15,51,1014,1011.4,7,6,No
15/05/2013,SydneyAirport,8.9,21.7,0,2.8,9.8,57,9,37,37,1013.3,1009.5,1,3,No
16/05/2013,SydneyAirport,13.6,21.8,0,5.4,8.3,57,22,39,36,1010.1,1007.5,2,3,No
17/05/2013,SydneyAirport,11.5,19.8,0,4.6,10.1,61,28,41,38,1012,1010.7,1,1,No
18/05/2013,SydneyAirport,9.2,20.1,0,3.8,10.1,52,31,22,38,1014.7,1012,1,1,No
19/05/2013,SydneyAirport,8.4,20,0,3.6,9.1,39,22,24,37,1016.8,1014.2,2,1,No
20/05/2013,SydneyAirport,9.2,20.2,0,4,8.5,54,30,28,44,1018.5,1014.9,4,3,No
21/05/2013,SydneyAirport,9.1,22.7,0,4,9.1,57,28,26,52,1015.4,1013.1,3,7,No
22/05/2013,SydneyAirport,8.8,17.2,0,2.2,1.3,39,13,26,75,1014.9,1010.3,6,8,No
23/05/2013,SydneyAirport,10.7,19,38.4,5.2,0.7,67,22,35,69,1013.8,1012.9,7,6,Yes
24/05/2013,SydneyAirport,13.3,20,8.2,2.4,5.8,54,30,31,80,1018.9,1018.1,7,7,Yes
25/05/2013,SydneyAirport,10.7,18.6,9,3.8,9.4,35,15,17,65,1023.7,1022.3,1,1,Yes
26/05/2013,SydneyAirport,8.6,20.2,0,1.8,10.1,28,15,7,58,1025.5,1023,1,1,No
27/05/2013,SydneyAirport,10.9,18,0.2,3.2,7.1,50,13,30,68,1029.3,1028.3,5,5,No
28/05/2013,SydneyAirport,12.5,20.6,6.2,1.2,3.2,35,9,26,80,1032.9,1030.1,8,8,Yes
29/05/2013,SydneyAirport,11.7,22.9,0,2,4.9,31,13,13,72,1031.4,1027.7,8,3,No
30/05/2013,SydneyAirport,11.7,22.8,0,2.6,5.7,28,13,22,67,1029.3,1025.6,4,5,No
31/05/2013,SydneyAirport,11.9,25,0,1.6,9.1,31,15,17,54,1028.1,1023.7,1,5,No
1/06/2013,SydneyAirport,13.2,23.2,0,4,3,50,20,24,55,1019,1013.7,6,7,No
2/06/2013,SydneyAirport,14.5,17,14.8,3,1.8,80,22,50,78,1005.5,1009.7,8,7,Yes
3/06/2013,SydneyAirport,10,17.8,16.6,4.6,9.7,56,24,19,51,1020.5,1018.8,1,1,Yes
4/06/2013,SydneyAirport,10.6,19,0,3.6,9.3,33,19,17,59,1026.1,1023.8,3,1,No
5/06/2013,SydneyAirport,10.4,20.6,0,3.4,2.3,30,9,22,72,1026,1021.3,8,7,No
6/06/2013,SydneyAirport,12.1,21.8,0,1.6,2.3,24,15,15,53,1022.8,1019.9,7,8,No
7/06/2013,SydneyAirport,15.8,23.7,0,2,1.8,52,22,19,62,1019.6,1018.5,8,6,No
8/06/2013,SydneyAirport,14.3,17.6,0,3,1.5,44,19,15,65,1030.6,1028.7,7,7,No
9/06/2013,SydneyAirport,11.1,20.5,0,7,6.9,31,11,26,62,1028.6,1024,4,7,No
10/06/2013,SydneyAirport,10.1,21.7,0,1.4,3.9,26,13,19,76,1021.5,1018.5,2,8,No
11/06/2013,SydneyAirport,9.5,20.6,0.8,0.2,8.5,24,17,9,61,1020.9,1017.4,3,6,No
12/06/2013,SydneyAirport,10,16.2,0,2,1,37,7,17,79,1015.1,1009.6,7,6,No
13/06/2013,SydneyAirport,10.9,21.6,6.2,0.6,8.6,43,17,26,54,1006.9,1004,3,3,Yes
14/06/2013,SydneyAirport,10.1,20.8,0.2,3.6,7,48,20,31,48,1005.1,1003,2,6,No
15/06/2013,SydneyAirport,12.7,17.8,0,4,5,59,33,30,51,1010,1009.9,4,7,No
16/06/2013,SydneyAirport,9.5,16.9,0,3.2,9.5,41,26,20,53,1014.5,1011.6,2,4,No
17/06/2013,SydneyAirport,8.3,16.4,0,3.8,3.8,56,17,28,57,1009.5,1008.4,6,6,No
18/06/2013,SydneyAirport,8.6,17,0,1.6,8,46,26,28,61,1013.4,1012.2,1,2,No
19/06/2013,SydneyAirport,9.3,15,12.2,3.2,0,65,30,39,79,1021.7,1021.4,6,7,Yes
20/06/2013,SydneyAirport,8.6,15.1,2.6,2.8,7.2,44,19,30,65,1024.1,1021.1,3,6,Yes
21/06/2013,SydneyAirport,8.2,15.7,0,2,8.1,37,11,20,67,1021.5,1019.2,5,2,No
22/06/2013,SydneyAirport,7.6,14.5,2.8,2.4,0,44,7,13,90,1024.8,1024.4,7,7,Yes
23/06/2013,SydneyAirport,7.7,14.7,56.8,0.4,0.2,50,26,20,92,1028.4,1026.9,7,7,Yes
24/06/2013,SydneyAirport,9.7,15,50,0.2,0.1,41,13,13,74,1021.6,1017.7,7,7,Yes
25/06/2013,SydneyAirport,10.1,17.5,17.2,2.4,0.2,57,11,22,87,1016.2,1014.9,8,6,Yes
