Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity_Avg,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
1/01/2013,Sydney,20.2,26.2,0,11,10.9,30,9,19,69,1012,1008.6,6,3,23.2,24.1,No
2/01/2013,Sydney,20.3,22.9,0,7.4,0.9,52,17,24,66,1013.8,1015.1,7,7,21.8,21.1,No
3/01/2013,Sydney,18.4,24.8,0,5.6,12.4,30,7,19,54,1018.8,1016.6,4,1,21.8,23.5,No
4/01/2013,Sydney,18.3,26.6,0,9,13.1,52,17,26,60,1016.7,1014.1,1,0,24.4,24.8,No
5/01/2013,Sydney,20.9,28.3,0,9.6,12.7,52,9,17,56,1016.1,1014.3,0,1,25.2,27.2,No
6/01/2013,Sydney,21.6,28,0,11.6,13.1,33,13,20,61,1021,1019.7,3,1,25.6,27,No
7/01/2013,Sydney,21.4,27.5,0,8,9,46,9,20,70,1022.5,1018.4,8,1,23.2,25.9,No
8/01/2013,Sydney,20.9,42.3,0,9.8,8.7,69,4,28,33,1005.8,999.1,6,6,27.3,39.8,No
9/01/2013,Sydney,21.1,25,0,18.4,6.1,50,24,28,54,999.3,1002.1,6,6,22.5,21.7,No
10/01/2013,Sydney,20.2,25.4,0,8.4,1.4,37,17,24,59,1009.7,1009.6,7,7,22.3,24.3,No
11/01/2013,Sydney,21.2,29.6,0,6.2,10,43,4,15,61,1010.1,1005.5,3,5,25,27.3,No
12/01/2013,Sydney,23.5,31.2,0,9.6,1.5,56,13,26,52,1005.8,1006.7,6,7,29.4,28.1,No
13/01/2013,Sydney,20.7,23.8,0,6.2,0,56,13,19,74,1011.5,1008.5,8,7,22.4,22.2,No
14/01/2013,Sydney,17.1,23.7,8.6,2,9.4,59,17,28,59,1015.2,1017.5,7,2,18.8,22.2,Yes
15/01/2013,Sydney,16.8,24.9,0.2,9.8,10.8,41,6,17,58,1019.4,1016.7,3,3,20.5,23.1,No
16/01/2013,Sydney,19.1,27.2,0,6.6,11.4,31,7,24,65,1014.6,1011.8,3,4,23.2,24.9,No
17/01/2013,Sydney,21.4,29,0,8.2,12.1,41,2,26,71,1012.5,1007.9,5,1,24.3,26.5,No
18/01/2013,Sydney,21.7,45.8,0,9,8.4,78,13,15,38,1002.9,997.9,0,3,28.9,44.7,No
19/01/2013,Sydney,21.5,24.8,0,12.6,2.3,50,19,20,62,1013.2,1013.8,6,8,22.7,22.4,No
20/01/2013,Sydney,20.2,24.3,0.2,5,0,28,13,15,63,1017.3,1016.1,7,8,22.3,23.6,No
21/01/2013,Sydney,20.7,26.6,0.2,4.2,5.3,37,2,17,62,1015.8,1013.4,7,7,24.2,25.5,No
22/01/2013,Sydney,20.9,29.6,0,7.4,7.3,52,17,17,63,1010.4,1007.4,2,7,26.5,26.5,No
23/01/2013,Sydney,20.7,25.7,0,6.2,2.3,56,20,26,68,1015.3,1015.3,7,7,21.8,24.4,No
24/01/2013,Sydney,20.4,29.8,0,7.2,10.5,33,20,20,61,1017.5,1015.3,7,2,22.7,29.3,No
25/01/2013,Sydney,21.6,29.2,0,4.6,12.8,44,11,26,67,1012.9,1010.5,2,1,25.8,27.6,No
26/01/2013,Sydney,23.7,28.2,0,11.4,8.3,57,17,30,72,1012.5,1011.1,7,6,26.5,27,No
27/01/2013,Sydney,20.1,22.7,16.8,8.2,0,50,6,9,90,1009.2,1009,8,8,20.5,20.9,Yes
28/01/2013,Sydney,20.5,23,15.8,2.2,0,69,7,24,90,1009.2,1008.1,8,8,22.7,21.6,Yes
29/01/2013,Sydney,19.3,26.2,95.2,NA,4.5,70,11,24,82,1001.7,1004.9,8,6,21.5,24,Yes
30/01/2013,Sydney,19.8,26,0.8,5.6,8.5,28,11,20,64,1014.7,1014,5,2,22.2,24.9,No
31/01/2013,Sydney,21,27.8,0,5.6,12.2,54,19,24,65,1013.2,1008.4,3,1,25.9,27.2,No
